Timestamp,User,Event Type,Entity Type,Entity Details,Event Id
2025-03-01T03:35:23.000Z,AUSTIN  JOLIET,delete,Custom Hotlist Entry,"Hotlist Name: Joliet's sus tag or title list
Deleted Plates: License: CHR4614 State: georgia
",03496b03-f3ff-4f1e-ab01-317ed896e1c1
2025-03-01T02:51:30.000Z,Kim Pettit,create,networkShare,"Network Name: Cobb County Parks & Rec
Permissions: feedView, hotlistToolAccess
Receiving Organization: b4efff2d-2db2-4b97-8943-f92fea7b203d
",a126defc-45fd-4caa-8a15-ea1693eeb20b
2025-03-01T02:02:02.000Z,Invalid user uuid,create,networkShare,"Network Name: Cobb County Parks & Rec
Permissions: feedView
Receiving Organization: Covington LA PD
",a126defc-45fd-4caa-8a15-ea1693eeb20b
2025-02-28T23:28:35.000Z,Douglas  Goodwin,update,Custom Hotlist Entry,"Hotlist Name: Goodwin Fake VINs
License: ZHM275
State: 
Reason: Vehicle t80 from me.  Identify Driver, W/M, goatee, missing teeth. Tell him I have his glasses.
Case: 25013772  
Expiry: 2025-03-30T17:38:16.734Z
",0c1179f2-f62a-11ef-9e8a-5f4050cbc6e5
2025-02-28T23:16:32.000Z,Douglas  Goodwin,create,Custom Hotlist Entry,"Hotlist Name: Goodwin Fake VINs
License: ZHM275
State: 
Reason: Vehicle t80 from me.  Identify Driver, W/M, goatee, missing teeth. Tell him I have his glasses.
Case: 
Expiry: 2025-03-30T17:38:16.734Z
Consolidated: false
",0c1179f2-f62a-11ef-9e8a-5f4050cbc6e5
2025-02-28T22:29:44.000Z,NICHOLAS LEONE,delete,Custom Hotlist Entry,"Hotlist Name: stolen/cherokee
Deleted Plates: License: DBY8115 State: georgia
",210837a1-0972-46ac-b8ec-3c73c9e05868
2025-02-28T22:28:46.000Z,NICHOLAS LEONE,create,Custom Hotlist Entry,"Hotlist Name: stolen/cherokee
License: DBY8115
State: georgia
Reason: stolen
Case: 
Expiry: 2025-03-30T21:27:14.990Z
Consolidated: false
",5f9e2a72-f623-11ef-90ee-13debd25349f
2025-02-28T22:26:56.000Z,NICHOLAS LEONE,create,customHotlist,"Name: stolen/cherokee
Organization Hotlist: No
Audience Users: NICHOLAS LEONE
Audience Roles: 
",210837a1-0972-46ac-b8ec-3c73c9e05868
2025-02-28T22:26:52.000Z,Michael Geraghty,create,Custom Hotlist Entry,"Hotlist Name: Geraghty's Hotlist
License: DBY8115
State: georgia
Reason: 45A
Case: 
Expiry: 2025-03-01T06:26:36.548Z
Consolidated: false
",1bea4aea-f623-11ef-ac73-fb171461886f
2025-02-28T22:25:47.000Z,Invalid user uuid,create,networkShare,"Network Name: Cobb County GA PD
Permissions: hotlistToolAccess
Receiving Organization: Union Township OH (Clermont Co) PD
",59c8543c-982a-42c5-b72b-5f617bbba0a4
2025-02-28T22:06:41.000Z,Invalid user uuid,create,networkShare,"Network Name: Cobb County Parks & Rec
Permissions: feedView, hotlistToolAccess
Receiving Organization: Union Township OH (Clermont Co) PD
",a126defc-45fd-4caa-8a15-ea1693eeb20b
2025-02-28T21:25:06.000Z,Garrett Moss,create,Custom Hotlist Entry,"Hotlist Name: Moss' list
License: WRV603
State: south_carolina
Reason: pointing pistol at another
Case: 25013735
Expiry: 2025-03-30T20:11:12.587Z
Consolidated: false
",7b0812e0-f61a-11ef-a7fc-2fe57bdc2a02
2025-02-28T20:50:51.000Z,Shane Rockey,create,Custom Hotlist Entry,"Hotlist Name: Rockey's Hot List
License: WRV603
State: south_carolina
Reason: S69
Case: 25013735
Expiry: never
Consolidated: false
",b1f6e0c4-f615-11ef-a683-c31a77ede9d4
2025-02-28T20:08:57.000Z,Invalid user uuid,create,networkShare,"Network Name: Cobb County GA PD
Permissions: feedView, hotlistToolAccess
Receiving Organization: Trousdale County TN SO
",59c8543c-982a-42c5-b72b-5f617bbba0a4
2025-02-28T19:50:05.000Z,Stephen Myers,create,Custom Hotlist Entry,"Hotlist Name: Myers
License: SJQ5343
State: 
Reason: t99
Case: 
Expiry: 2025-03-30T15:49:20.765Z
Consolidated: false
",3515e3be-f60d-11ef-8262-4faca207da76
2025-02-28T19:33:08.000Z,Invalid user uuid,create,networkShare,"Network Name: Cobb County GA PD
Permissions: hotlistToolAccess
Receiving Organization: Colquitt County GA SO
",59c8543c-982a-42c5-b72b-5f617bbba0a4
